Year,Sex,Age Group,Tobacco Product,Value
2015,Both sexes,15-19 years-old,Any tobacco product,13.1
2017,Both sexes,15-19 years-old,Any tobacco product,9.2
2019,Both sexes,15-19 years-old,Any tobacco product,7.4
2019,Male,15-19 years-old,Any tobacco product,9.1
2019,Female,15-19 years-old,Any tobacco product,5.0
2020,Both sexes,15-19 years-old,Any tobacco product,6.0
2020,Male,15-19 years-old,Any tobacco product,7.3
2015,Both sexes,15-19 years-old,Cigarettes,9.8
2017,Both sexes,15-19 years-old,Cigarettes,6.6
2019,Both sexes,15-19 years-old,Cigarettes,5.1
2019,Male,15-19 years-old,Cigarettes,6.0
2020,Both sexes,15-19 years-old,Cigarettes,3.1
2015,Both sexes,15-19 years-old,Cigars,1.3
2017,Both sexes,15-19 years-old,Cigars,1.0
2015,Both sexes,15-19 years-old,E-cigarettes,6.3
2017,Both sexes,15-19 years-old,E-cigarettes,6.3
2015,Both sexes,15-19 years-old,Little cigars or cigarillos,3.0
2017,Both sexes,15-19 years-old,Little cigars or cigarillos,2.2
2015,Both sexes,15-19 years-old,Smokeless tobacco,0.9
2017,Both sexes,15-19 years-old,Smokeless tobacco,1.6
2019,Both sexes,15-19 years-old,Vaping,15.1
2019,Male,15-19 years-old,Vaping,16.1
2019,Female,15-19 years-old,Vaping,13.6
2020,Both sexes,15-19 years-old,Vaping,14.4
2020,Male,15-19 years-old,Vaping,14.7
2020,Female,15-19 years-old,Vaping,13.9
2015,Both sexes,15-19 years-old,Water pipe with tobacco,1.7
2017,Both sexes,15-19 years-old,Water pipe with tobacco,1.5
2015,Both sexes,20-24 years-old,Any tobacco product,23.8
2017,Both sexes,20-24 years-old,Any tobacco product,20.6
2019,Both sexes,20-24 years-old,Any tobacco product,18.3
2019,Male,20-24 years-old,Any tobacco product,21.6
2019,Female,20-24 years-old,Any tobacco product,14.2
2020,Both sexes,20-24 years-old,Any tobacco product,12.5
2020,Male,20-24 years-old,Any tobacco product,17.8
2020,Female,20-24 years-old,Any tobacco product,6.8
2015,Both sexes,20-24 years-old,Cigarettes,18.9
2017,Both sexes,20-24 years-old,Cigarettes,15.6
2019,Both sexes,20-24 years-old,Cigarettes,13.3
2019,Male,20-24 years-old,Cigarettes,15.3
2019,Female,20-24 years-old,Cigarettes,10.6
2020,Both sexes,20-24 years-old,Cigarettes,8.4
2020,Male,20-24 years-old,Cigarettes,12.3
2020,Female,20-24 years-old,Cigarettes,4.3
2015,Both sexes,20-24 years-old,Cigars,2.3
2017,Both sexes,20-24 years-old,Cigars,2.1
2015,Both sexes,20-24 years-old,E-cigarettes,6.3
2017,Both sexes,20-24 years-old,E-cigarettes,6.0
2015,Both sexes,20-24 years-old,Little cigars or cigarillos,5.7
2017,Both sexes,20-24 years-old,Little cigars or cigarillos,3.7
2019,Both sexes,20-24 years-old,Little cigars or cigarillos,3.9
2020,Both sexes,20-24 years-old,Little cigars or cigarillos,2.8
2015,Both sexes,20-24 years-old,Pipe,1.5
2015,Both sexes,20-24 years-old,Smokeless tobacco,1.8
2017,Both sexes,20-24 years-old,Smokeless tobacco,1.4
2019,Both sexes,20-24 years-old,Vaping,15.2
2019,Male,20-24 years-old,Vaping,18.0
2019,Female,20-24 years-old,Vaping,11.8
2020,Both sexes,20-24 years-old,Vaping,13.0
2020,Male,20-24 years-old,Vaping,15.7
2020,Female,20-24 years-old,Vaping,10.2
2015,Both sexes,20-24 years-old,Water pipe with tobacco,2.7
2017,Both sexes,20-24 years-old,Water pipe with tobacco,3.1
2015,Both sexes,25+ years-old,Any tobacco product,14.9
2017,Both sexes,25+ years-old,Any tobacco product,18.2
2019,Both sexes,25+ years-old,Any tobacco product,14.4
2019,Male,25+ years-old,Any tobacco product,16.3
2019,Female,25+ years-old,Any tobacco product,12.5
2020,Both sexes,25+ years-old,Any tobacco product,12.5
2020,Male,25+ years-old,Any tobacco product,15.1
2020,Female,25+ years-old,Any tobacco product,10.0
2015,Both sexes,25+ years-old,Cigarettes,12.9
2017,Both sexes,25+ years-old,Cigarettes,16.0
2019,Both sexes,25+ years-old,Cigarettes,12.5
2019,Male,25+ years-old,Cigarettes,13.2
2019,Female,25+ years-old,Cigarettes,11.8
2020,Both sexes,25+ years-old,Cigarettes,11.0
2020,Male,25+ years-old,Cigarettes,12.7
2020,Female,25+ years-old,Cigarettes,9.4
2015,Both sexes,25+ years-old,Cigars,1.1
2017,Both sexes,25+ years-old,Cigars,0.6
2019,Both sexes,25+ years-old,Cigars,1.3
2019,Male,25+ years-old,Cigars,2.3
2020,Both sexes,25+ years-old,Cigars,1.1
2020,Male,25+ years-old,Cigars,1.9
2015,Both sexes,25+ years-old,E-cigarettes,2.6
2017,Both sexes,25+ years-old,E-cigarettes,2.3
2015,Both sexes,25+ years-old,Little cigars or cigarillos,1.3
2017,Both sexes,25+ years-old,Little cigars or cigarillos,1.1
2019,Both sexes,25+ years-old,Little cigars or cigarillos,1.7
2019,Male,25+ years-old,Little cigars or cigarillos,2.6
2019,Female,25+ years-old,Little cigars or cigarillos,0.8
2020,Both sexes,25+ years-old,Little cigars or cigarillos,1.6
2020,Male,25+ years-old,Little cigars or cigarillos,2.6
2015,Both sexes,25+ years-old,Pipe,0.4
2015,Both sexes,25+ years-old,Smokeless tobacco,0.2
2019,Both sexes,25+ years-old,Vaping,2.9
2019,Male,25+ years-old,Vaping,3.8
2019,Female,25+ years-old,Vaping,2.1
2020,Both sexes,25+ years-old,Vaping,3.2
2020,Male,25+ years-old,Vaping,4.1
2020,Female,25+ years-old,Vaping,2.3
2015,Both sexes,25-44 years-old,Any tobacco product,17.8
2017,Both sexes,25-44 years-old,Any tobacco product,22.4
2019,Both sexes,25-44 years-old,Any tobacco product,16.0
2019,Male,25-44 years-old,Any tobacco product,18.2
2019,Female,25-44 years-old,Any tobacco product,13.8
2020,Both sexes,25-44 years-old,Any tobacco product,12.4
2020,Male,25-44 years-old,Any tobacco product,15.6
2020,Female,25-44 years-old,Any tobacco product,9.1
2015,Both sexes,25-44 years-old,Cigarettes,15.3
2017,Both sexes,25-44 years-old,Cigarettes,18.7
2019,Both sexes,25-44 years-old,Cigarettes,13.2
2019,Male,25-44 years-old,Cigarettes,13.7
2019,Female,25-44 years-old,Cigarettes,12.8
2020,Both sexes,25-44 years-old,Cigarettes,10.5
2020,Male,25-44 years-old,Cigarettes,12.5
2020,Female,25-44 years-old,Cigarettes,8.5
2015,Both sexes,25-44 years-old,Cigars,1.1
2015,Both sexes,25-44 years-old,E-cigarettes,3.4
2017,Both sexes,25-44 years-old,E-cigarettes,3.2
2015,Both sexes,25-44 years-old,Little cigars or cigarillos,1.7
2017,Both sexes,25-44 years-old,Little cigars or cigarillos,1.9
2019,Both sexes,25-44 years-old,Little cigars or cigarillos,1.7
2020,Both sexes,25-44 years-old,Little cigars or cigarillos,2.0
2019,Both sexes,25-44 years-old,Vaping,5.0
2019,Male,25-44 years-old,Vaping,6.7
2019,Female,25-44 years-old,Vaping,3.3
2020,Both sexes,25-44 years-old,Vaping,5.1
2020,Male,25-44 years-old,Vaping,7.0
2015,Both sexes,45+ years-old,Any tobacco product,13.0
2017,Both sexes,45+ years-old,Any tobacco product,15.6
2019,Both sexes,45+ years-old,Any tobacco product,13.4
2019,Male,45+ years-old,Any tobacco product,15.1
2019,Female,45+ years-old,Any tobacco product,11.8
2020,Both sexes,45+ years-old,Any tobacco product,12.6
2020,Male,45+ years-old,Any tobacco product,14.8
2020,Female,45+ years-old,Any tobacco product,10.6
2015,Both sexes,45+ years-old,Cigarettes,11.4
2017,Both sexes,45+ years-old,Cigarettes,14.2
2019,Both sexes,45+ years-old,Cigarettes,12.0
2019,Male,45+ years-old,Cigarettes,12.9
2019,Female,45+ years-old,Cigarettes,11.3
2020,Both sexes,45+ years-old,Cigarettes,11.4
2020,Male,45+ years-old,Cigarettes,12.8
2020,Female,45+ years-old,Cigarettes,10.0
2015,Both sexes,45+ years-old,Cigars,1.0
2019,Both sexes,45+ years-old,Cigars,0.9
2019,Male,45+ years-old,Cigars,1.5
2020,Both sexes,45+ years-old,Cigars,0.7
2015,Both sexes,45+ years-old,E-cigarettes,2.1
2017,Both sexes,45+ years-old,E-cigarettes,1.7
2015,Both sexes,45+ years-old,Little cigars or cigarillos,1.0
2017,Both sexes,45+ years-old,Little cigars or cigarillos,0.6
2019,Both sexes,45+ years-old,Little cigars or cigarillos,1.6
2019,Male,45+ years-old,Little cigars or cigarillos,2.6
2020,Both sexes,45+ years-old,Little cigars or cigarillos,1.3
